name,mfr,type,calories,protein,fat,sodium,fiber,carbo
100% Bran,N,C,70,4,1,130,10,5
100% Natural Bran,Q,C,120,3,5,15,2,8
All-Bran,K,C,70,4,1,260,9,7
All-Bran with Extra Fiber,K,C,50,4,0,140,14,8
Almond Delight,R,C,110,2,2,200,1,14
Apple Cinnamon Cheerios,G,C,110,2,2,180,1.5,10.5
Apple Jacks,K,C,110,2,0,125,1,11
Basic 4,G,C,130,3,2,210,2,18
Bran Chex,R,C,90,2,1,200,4,15
Bran Flakes,P,C,90,3,0,210,5,13
Cap'n'Crunch,Q,C,120,1,2,220,0,12
Cheerios,G,C,110,6,2,290,2,17
Cinnamon Toast Crunch,G,C,120,1,3,210,0,13
Clusters,G,C,110,3,2,140,2,13
Cocoa Puffs,G,C,110,1,1,180,0,12
Corn Chex,R,C,110,2,0,280,0,22
Corn Flakes,K,C,100,2,0,290,1,21
Corn Pops,K,C,110,1,0,90,1,13
Count Chocula,G,C,110,1,1,180,0,12
Cracklin' Oat Bran,K,C,110,3,3,140,4,10
Cream of Wheat (Quick),N,H,100,3,0,80,1,21
Crispix,K,C,110,2,0,220,1,21
Crispy Wheat & Raisins,G,C,100,2,1,140,2,11
Double Chex,R,C,100,2,0,190,1,18
Froot Loops,K,C,110,2,1,125,1,11
Frosted Flakes,K,C,110,1,0,200,1,14
Frosted Mini-Wheats,K,C,100,3,0,0,3,14
"Fruit & Fibre Dates, Walnuts, and Oats",P,C,120,3,2,160,5,12
Fruitful Bran,K,C,120,3,0,240,5,14
